1, private, deeper_dark:amethyst_mines, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
305, ocean, minecraft:deep_frozen_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
306, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
307, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
308, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
309, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
310, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
311, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
312, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
313, ocean, minecraft:deep_frozen_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
314, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
315, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
316, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
317, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
318, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
319, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
320, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
321, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
322, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
323, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
324, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
325, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
326, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
327, ocean, minecraft:deep_lukewarm_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
328, ocean, minecraft:deep_lukewarm_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
329, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
330, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
331, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
332, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
333, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
334, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
335, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
336, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
337, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
338, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
339, ocean, minecraft:deep_lukewarm_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
340, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
341, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
342, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
343, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
344, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
345, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
346, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
347, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
348, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
349, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
350, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
351, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
352, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
353, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
354, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
355, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
356, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
357, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
358, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
359, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
360, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
361, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
362, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
363, ocean, minecraft:deep_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
364, ocean, minecraft:deep_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
365, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
366, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
367, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
368, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
369, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
370, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
371, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
372, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
373, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
374, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
375, ocean, minecraft:deep_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
376, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
377, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
378, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
379, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
380, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
381, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
382, ocean, minecraft:deep_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
383, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
384, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
385, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
386, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
387, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
388, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
389, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
390, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
391, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
392, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
393, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
394, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
395, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
396, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
397, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
398, private, deeper_dark:deeper_dark, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
399, private, deeper_dark:deeper_dark, CREATURE, mozombies_wave:survivor, 5, 1, 4
400, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
401, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
402, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
403, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
404, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
405, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
406, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
407, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
408, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
409, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
410, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
411, private, deeper_dark:deeper_dark_edge, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
412, private, deeper_dark:deeper_dark_edge, CREATURE, mozombies_wave:survivor, 5, 1, 4
413, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
414, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
415, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
416, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
417, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
418, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
419, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
420, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
421, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
422, desert, minecraft:desert, MONSTER, skeletalremains:desertedskeleton, 40, 1, 3
423, desert, minecraft:desert, MONSTER, skeletalremains:desertedskeleton, 40, 1, 3
424, desert, minecraft:desert, MONSTER, skeletalremains:desertedskeleton, 40, 1, 3
425, desert, minecraft:desert, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
426, desert, minecraft:desert, MONSTER, minecraft:giant, 5, 1, 2
427, desert, minecraft:desert, MONSTER, hwg:merc, 5, 1, 2
428, desert, minecraft:desert, MONSTER, hwg:spy, 5, 1, 2
429, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
430, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
431, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
432, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
433, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
434, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
435, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
436, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
437, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
438, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
439, desert, minecraft:desert, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
440, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
441, desert, minecraft:desert, CREATURE, mozombies_wave:survivor, 5, 1, 4
442, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
443, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
444, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
445, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
446, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
447, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
448, private, minecraft:dripstone_caves, MONSTER, minecraft:creeper, 80, 4, 4
449, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
450, private, minecraft:dripstone_caves, MONSTER, minecraft:enderman, 10, 1, 4
451, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
452, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
453, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
454, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
455, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
456, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
457, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
458, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
459, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
460, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
461, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
462, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
463, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
464, private, minecraft:dripstone_caves, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
465, private, minecraft:dripstone_caves, CREATURE, mozombies_wave:survivor, 5, 1, 4
466, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
467, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
468, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
469, private, minecraft:end_barrens, CREATURE, mozombies_wave:survivor, 5, 1, 4
470, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
471, private, minecraft:end_highlands, CREATURE, mozombies_wave:survivor, 5, 1, 4
472, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
473, private, minecraft:end_midlands, CREATURE, mozombies_wave:survivor, 5, 1, 4
474, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
475, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 19, 4, 4
476, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
477, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
478, badlands, minecraft:eroded_badlands, MONSTER, minecraft:creeper, 80, 4, 4
479, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
480, badlands, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 10, 1, 4
481, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
482, badlands, minecraft:eroded_badlands, MONSTER, minecraft:husk, 80, 4, 4
483, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
484, badlands, minecraft:eroded_badlands, MONSTER, hwg:merc, 5, 1, 2
485, badlands, minecraft:eroded_badlands, MONSTER, skeletalremains:sharpshooterskeleton, 60, 1, 2
486, badlands, minecraft:eroded_badlands, MONSTER, hwg:spy, 5, 1, 2
487, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
488, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
489, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
490, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
491, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
492, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
493, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
494, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
495, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
496, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
497, badlands, minecraft:eroded_badlands, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
498, badlands, minecraft:eroded_badlands, CREATURE, mozombies_wave:survivor, 5, 1, 4
499, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
500, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
501, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
502, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
503, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
504, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
505, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
506, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
507, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 4
508, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
509, forest, minecraft:flower_forest, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
510, forest, minecraft:flower_forest, MONSTER, hwg:merc, 5, 1, 2
511, forest, minecraft:flower_forest, MONSTER, hwg:spy, 5, 1, 2
512, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
513, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
514, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
515, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
516, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
517, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
518, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
519, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
520, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
521, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
522, forest, minecraft:flower_forest, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
523, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
524, forest, minecraft:flower_forest, CREATURE, minecraft:pig, 10, 4, 4
525, forest, minecraft:flower_forest, CREATURE, minecraft:chicken, 10, 4, 4
526, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
527, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
528, forest, minecraft:flower_forest, CREATURE, mozombies_wave:survivor, 5, 1, 4
529, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
530, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
531, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
532, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
533, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
534, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
535, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
536, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
537, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
538, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
539, forest, minecraft:forest, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
540, forest, minecraft:forest, MONSTER, hwg:merc, 5, 1, 2
541, forest, minecraft:forest, MONSTER, hwg:spy, 5, 1, 2
542, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
543, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
544, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
545, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
546, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
547, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
548, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
549, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
550, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
551, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
552, forest, minecraft:forest, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
553, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
554, forest, minecraft:forest, CREATURE, minecraft:pig, 10, 4, 4
555, forest, minecraft:forest, CREATURE, minecraft:chicken, 10, 4, 4
556, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
557, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
558, forest, minecraft:forest, CREATURE, mozombies_wave:survivor, 5, 1, 4
559, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
560, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
561, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
562, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
563, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
564, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 20, 4, 4
565, ocean, minecraft:frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
566, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
567, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
568, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
569, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
570, ocean, minecraft:frozen_ocean, MONSTER, minecraft:stray, 80, 4, 4
571, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
572, ocean, minecraft:frozen_ocean, MONSTER, skeletalremains:sunkenskeleton, 50, 1, 2
573, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
574, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
575, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
576, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_dwarf, 10, 1, 5
577, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_herobrine, 5, 1, 1
578, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_king, 5, 1, 2
579, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_knight, 5, 1, 4
580, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_miner, 5, 2, 7
581, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_notch, 5, 1, 1
582, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_pa, 5, 1, 2
583, ocean, minecraft:frozen_ocean, MONSTER, mozombies_wave:zombie_pirate, 7, 1, 3
584, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
585, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
586, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:aberration, 10, 1, 1
587, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:craeken, 5, 1, 1
588, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid, 5, 1, 1
589, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:miraid_hallucination, 5, 1, 1
590, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:mohast, 10, 1, 3
591, ocean, minecraft:frozen_ocean, AMBIENT, darkwaters:sight_hunter, 5, 1, 1
592, ocean, minecraft:frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
593, ocean, minecraft:frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
594, ocean, minecraft:frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
595, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:spider, 80, 4, 4
596, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:zombie, 80, 4, 4
597, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:zombie_villager, 5, 1, 1
598, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:skeleton, 20, 4, 4
599, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:creeper, 80, 4, 4
600, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:slime, 80, 4, 4
601, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:enderman, 10, 1, 4
602, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:witch, 5, 1, 1
603, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:stray, 80, 4, 4
604, extreme_hills, minecraft:frozen_peaks, MONSTER, mozombies_wave:disco_zombie, 6, 1, 4
605, extreme_hills, minecraft:frozen_peaks, MONSTER, mozombies_wave:zombie_chef, 8, 1, 4
606, extreme_hills, minecraft:frozen_peaks, MONSTER, mozombies_wave:zombie_creeper, 5, 1, 3
607, extreme_hills, minecraft:frozen_peaks, MONSTER, mozombies_wave:zombie_cyborg, 5, 1, 4
